user_id,churned,days_since_last_trip,days_since_last_session,trips_last_7d,trips_last_30d,trips_last_60d,trips_last_90d,monetary_total,monetary_avg,trips_lifetime,monetary_last_30d,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,session_last_30d,avg_time_on_app,session_conversion_rate,activity_trend_30d,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_combined_score,account_age_days,was_referred,loyalty_status,age,city,engagement_score,cluster,segment
R00027,0,6,0.0,1,2,6,7,600.84,25.04,24,20.16,17.212,1.208,0.417,0.375,0.208,4.0,19.0,0.0,0.286,4,3,5,4.0,654,1,Silver,35,Cairo,3.9,2.0,Champions
R00029,0,6,0.0,1,2,3,5,310.42,22.17,14,44.75,16.745,1.236,0.429,0.5,0.286,7.0,384.714,0.143,0.5,4,3,2,3.0,489,1,Bronze,23,Lagos,3.15,2.0,Champions
R00030,0,19,0.0,0,1,2,4,261.09,16.32,16,13.05,14.631,1.088,0.375,0.562,0.562,4.0,351.25,0.25,0.333,2,1,1,1.33,234,1,Bronze,46,Lagos,1.4,1.0,Dormant
R00031,0,14,0.0,0,1,4,5,552.66,22.11,25,13.99,16.781,1.22,0.4,0.68,0.36,8.0,55.0,0.125,0.2,3,1,5,3.0,404,0,Bronze,30,Lagos,2.8,2.0,Champions
R00032,0,2,0.0,1,3,5,6,316.68,16.67,19,77.444,14.972,1.047,0.263,0.263,0.105,4.0,99.0,0.0,0.5,5,4,2,3.67,218,0,Bronze,35,Nairobi,3.9,0.0,At-Risk
R00033,0,5,0.0,1,1,4,4,437.95,19.91,22,11.36,15.715,1.164,0.227,0.136,0.273,5.0,44.2,0.0,0.2,4,1,4,3.0,431,1,Bronze,25,Cairo,2.95,2.0,Champions
R00034,0,8,0.0,0,3,4,5,406.47,18.48,22,43.66,14.789,1.136,0.227,0.136,0.364,6.0,11.0,0.0,0.6,4,4,4,4.0,323,0,Silver,45,Nairobi,4.0,2.0,Champions
R00035,0,5,0.0,1,1,3,4,217.96,19.81,11,17.02,16.526,1.136,0.182,0.091,0.273,7.0,37.571,0.143,0.25,4,1,1,2.0,92,0,Bronze,36,Nairobi,2.2,1.0,Dormant
R00036,0,13,0.0,0,2,4,6,411.22,17.13,24,35.78,14.166,1.125,0.292,0.292,0.25,3.0,29.0,0.0,0.4,3,3,4,3.33,358,0,Bronze,31,Lagos,3.25,0.0,At-Risk
R00037,0,29,0.0,0,1,2,3,373.33,19.65,19,14.412,15.048,1.168,0.789,0.0,0.474,1.0,46.0,0.0,0.333,2,1,3,2.0,420,0,Gold,39,Nairobi,1.9,1.0,Dormant
R00038,0,21,0.0,0,1,4,5,272.11,15.12,18,32.814,13.167,1.1,0.222,0.167,0.389,4.0,117.75,0.25,0.2,2,1,1,1.33,502,0,Silver,32,Nairobi,1.4,1.0,Dormant
R00039,1,6,0.0,1,2,3,4,179.76,12.84,14,16.22,12.335,1.007,0.429,0.214,0.214,7.0,54.714,0.0,0.5,4,3,1,2.67,235,0,Bronze,44,Nairobi,2.9,0.0,At-Risk
R00040,0,9,0.0,0,2,3,6,212.93,14.2,15,29.97,13.06,1.06,0.333,0.133,0.4,4.0,96.75,0.0,0.5,4,3,1,2.67,273,0,Silver,28,Cairo,2.9,0.0,At-Risk
R00041,0,0,0.0,1,2,2,6,271.3,15.96,17,20.200000000000003,14.425,1.1,0.176,0.588,0.529,3.0,35.0,0.0,0.667,5,3,1,3.0,496,0,Bronze,35,Lagos,3.3,0.0,At-Risk
R00042,0,20,0.0,0,1,2,2,283.11,16.65,17,15.19,13.367,1.153,0.353,0.353,0.118,3.0,19.667,0.0,0.333,2,1,1,1.33,570,0,Bronze,18,Lagos,1.4,1.0,Dormant
R00043,0,2,0.0,2,3,5,8,418.6,19.93,21,71.566,16.892,1.119,0.381,0.238,0.333,3.0,76.667,0.0,0.5,5,4,4,4.33,209,0,Bronze,31,Nairobi,4.4,2.0,Champions
R00044,0,61,0.0,0,0,0,1,406.07,22.56,18,0.0,17.227,1.228,0.167,0.389,0.278,6.0,73.833,0.0,0.0,1,1,4,2.0,154,0,Bronze,32,Cairo,1.75,1.0,Dormant
R00045,0,29,0.0,0,1,1,3,366.82,20.38,18,16.406,16.636,1.189,0.222,0.222,0.444,9.0,61.222,0.0,0.5,2,1,3,2.0,135,0,Bronze,26,Nairobi,1.9,1.0,Dormant
R00046,0,9,0.0,0,1,3,4,483.49,16.67,29,12.92,14.691,1.086,0.31,0.276,0.276,5.0,129.4,0.4,0.25,4,1,5,3.33,499,0,Bronze,38,Cairo,3.2,3.0,Loyal Riders
R00047,0,7,0.0,0,2,3,7,406.63,19.36,21,49.28,16.411,1.09,0.333,0.143,0.238,3.0,135.333,0.0,0.5,4,3,4,3.67,358,0,Bronze,38,Nairobi,3.65,2.0,Champions
R00048,1,0,0.0,1,1,2,3,432.27,20.58,21,16.388,14.91,1.271,0.381,0.048,0.286,5.0,13.0,0.0,0.333,5,1,4,3.33,366,0,Bronze,18,Nairobi,3.35,2.0,Champions
R00049,0,3,0.0,1,1,2,3,321.92,17.88,18,9.013,14.875,1.111,0.444,0.722,0.333,11.0,49.364,0.182,0.333,5,1,2,2.67,471,0,Silver,47,Lagos,2.85,0.0,At-Risk
R00050,0,96,0.0,0,0,0,0,300.64,23.13,13,0.0,15.969,1.254,0.231,0.538,0.077,11.0,88.273,0.0,0.0,1,1,2,1.33,516,0,Bronze,48,Lagos,1.25,1.0,Dormant
R00051,0,16,0.0,0,2,4,4,359.58,16.34,22,70.68,13.784,1.095,0.318,0.318,0.091,8.0,121.375,0.125,0.4,3,3,3,3.0,359,1,Bronze,34,Nairobi,3.0,0.0,At-Risk
R00052,1,23,0.0,0,1,2,3,439.22,19.96,22,10.09,15.66,1.191,0.364,0.273,0.273,3.0,125.667,0.333,0.333,2,1,4,2.33,485,1,Bronze,18,Nairobi,2.15,1.0,Dormant
R00053,0,2,0.0,1,2,3,5,321.62,16.93,19,45.665000000000006,14.936,1.084,0.316,0.053,0.263,1.0,53.0,1.0,0.5,5,3,2,3.33,480,0,Bronze,43,Cairo,3.55,3.0,Loyal Riders
R00054,0,4,0.0,1,2,3,4,280.87,18.72,15,34.46,16.609,1.067,0.333,0.267,0.267,4.0,49.5,0.5,0.5,5,3,1,3.0,415,1,Silver,26,Nairobi,3.3,3.0,Loyal Riders
R00055,1,10,0.0,0,2,3,5,378.25,21.01,18,41.51,17.183,1.133,0.278,0.611,0.278,2.0,2.5,0.0,0.5,3,3,3,3.0,205,0,Bronze,31,Lagos,3.0,2.0,Champions
R00056,0,40,0.0,0,0,3,3,397.63,17.29,23,0.0,15.158,1.109,0.261,0.261,0.217,2.0,65.0,0.0,0.0,1,1,3,1.67,455,1,Bronze,23,Cairo,1.5,1.0,Dormant
R00058,0,6,0.0,1,2,3,4,309.47,19.34,16,51.362,15.798,1.1,0.5,0.062,0.25,5.0,71.2,0.4,0.5,4,3,2,3.0,563,0,Gold,35,Nairobi,3.15,3.0,Loyal Riders
R00060,0,7,0.0,0,2,4,6,322.41,16.97,19,31.905,14.305,1.105,0.105,0.474,0.368,5.0,285.8,0.0,0.4,4,3,2,3.0,134,1,Bronze,40,Lagos,3.15,0.0,At-Risk
R00061,0,49,0.0,0,0,1,2,488.96,18.81,26,0.0,15.225,1.165,0.308,0.269,0.192,2.0,15.5,0.0,0.0,1,1,5,2.33,291,0,Bronze,35,Cairo,2.0,1.0,Dormant
R00062,0,25,0.0,0,1,4,7,401.71,18.26,22,13.29,15.65,1.086,0.273,0.318,0.182,3.0,61.333,0.333,0.2,2,1,4,2.33,581,1,Silver,30,Cairo,2.15,1.0,Dormant
R00064,0,16,0.0,0,3,6,6,334.88,25.76,13,85.365,18.492,1.292,0.077,0.462,0.385,5.0,171.6,0.2,0.429,3,4,2,3.0,285,0,Silver,38,Lagos,3.1,2.0,Champions
R00065,0,7,0.0,0,2,4,5,402.74,22.37,18,28.1,17.521,1.144,0.222,0.222,0.333,2.0,8.0,0.0,0.4,4,3,4,3.67,382,0,Silver,45,Cairo,3.65,2.0,Champions
R00066,0,43,0.0,0,0,1,2,312.48,16.45,19,0.0,14.166,1.095,0.474,0.211,0.316,1.0,18.0,0.0,0.0,1,1,2,1.33,488,0,Bronze,44,Cairo,1.25,1.0,Dormant
R00067,0,43,0.0,0,0,2,3,212.24,14.15,15,0.0,12.657,1.0,0.8,0.4,0.333,4.0,36.5,0.0,0.0,1,1,1,1.0,289,1,Platinum,32,Lagos,1.0,1.0,Dormant
R00068,0,4,0.0,1,2,3,5,487.16,18.74,26,33.055,14.863,1.158,0.346,0.231,0.231,10.0,43.4,0.1,0.5,5,3,5,4.33,278,0,Silver,18,Nairobi,4.3,2.0,Champions
R00069,0,1,0.0,1,1,4,5,369.99,14.8,25,10.28,13.244,1.064,0.32,0.32,0.28,6.0,61.167,0.0,0.2,5,1,3,3.0,73,1,Bronze,20,Nairobi,3.1,0.0,At-Risk
R00070,0,17,0.0,0,2,3,3,395.84,21.99,18,49.480999999999995,16.458,1.233,0.444,0.167,0.111,7.0,119.714,0.0,0.5,3,3,3,3.0,328,0,Bronze,44,Nairobi,3.0,2.0,Champions
R00071,0,3,0.0,1,5,5,7,495.64,15.49,32,76.91499999999999,13.744,1.084,0.125,0.281,0.344,5.0,124.0,0.0,0.833,5,5,5,5.0,705,1,Bronze,18,Cairo,5.0,2.0,Champions
R00072,0,21,0.0,0,3,4,5,372.15,18.61,20,37.65,15.35,1.115,0.55,0.2,0.3,3.0,32.0,0.667,0.6,2,4,3,3.0,407,0,Gold,45,Cairo,2.95,3.0,Loyal Riders
R00073,0,12,0.0,0,1,4,4,431.92,27.0,16,50.32,18.402,1.325,0.188,0.125,0.562,2.0,246.5,0.0,0.2,3,1,4,2.67,534,0,Silver,45,Nairobi,2.55,2.0,Champions
R00074,0,6,0.0,1,3,3,3,372.42,17.73,21,76.144,15.079,1.105,0.333,0.238,0.238,9.0,122.667,0.222,0.75,4,4,3,3.67,335,0,Silver,51,Nairobi,3.75,0.0,At-Risk
R00075,1,16,0.0,0,3,5,7,451.36,21.49,21,73.648,16.514,1.219,0.19,0.381,0.238,7.0,58.143,0.286,0.5,3,4,4,3.67,565,1,Bronze,53,Lagos,3.6,2.0,Champions
R00077,0,24,0.0,0,2,2,2,296.22,22.79,13,78.226,17.445,1.208,0.538,0.0,0.077,7.0,369.143,0.143,0.667,2,3,2,2.33,623,0,Silver,40,Nairobi,2.35,3.0,Loyal Riders
R00078,0,0,0.0,1,1,1,3,470.22,24.75,19,9.47,17.231,1.268,0.316,0.421,0.368,6.0,91.333,0.0,0.5,5,1,5,3.67,355,0,Bronze,43,Cairo,3.6,2.0,Champions
R00079,1,12,0.0,0,2,6,9,676.28,21.82,31,34.05,16.679,1.213,0.29,0.29,0.355,6.0,62.333,0.167,0.286,3,3,5,3.67,250,1,Silver,53,Cairo,3.5,2.0,Champions
R00080,0,73,0.0,0,0,0,1,396.15,19.81,20,0.0,16.301,1.175,0.15,0.35,0.1,4.0,95.5,0.0,0.0,1,1,3,1.67,243,0,Silver,41,Nairobi,1.5,1.0,Dormant
R00081,0,48,0.0,0,0,1,3,480.57,19.22,25,0.0,15.317,1.14,0.2,0.28,0.4,10.0,84.4,0.1,0.0,1,1,5,2.33,677,1,Bronze,33,Nairobi,2.0,1.0,Dormant
R00082,0,0,0.0,1,2,4,5,516.8,24.61,21,28.542,17.653,1.2,0.238,0.286,0.333,4.0,87.5,0.0,0.4,5,3,5,4.33,372,1,Silver,24,Nairobi,4.3,2.0,Champions
R00083,0,19,0.0,0,2,5,7,340.97,20.06,17,80.029,16.845,1.124,0.412,0.294,0.353,5.0,375.0,0.2,0.333,2,3,2,2.33,573,1,Bronze,25,Lagos,2.35,0.0,At-Risk
R00084,0,10,0.0,0,1,3,6,440.3,22.02,20,12.5,17.298,1.18,0.65,0.15,0.3,5.0,393.6,0.6,0.25,3,1,4,2.67,89,0,Gold,25,Nairobi,2.55,3.0,Loyal Riders
R00085,0,53,0.0,0,0,2,3,341.87,17.99,19,0.0,14.398,1.163,0.421,0.579,0.316,2.0,71.0,0.5,0.0,1,1,2,1.33,403,0,Silver,35,Lagos,1.25,1.0,Dormant
R00086,0,45,0.0,0,0,1,2,424.64,17.69,24,0.0,14.835,1.1,0.417,0.458,0.375,1.0,743.0,0.0,0.0,1,1,4,2.0,686,0,Bronze,35,Lagos,1.75,1.0,Dormant
R00087,1,5,0.0,1,4,6,6,365.47,18.27,20,75.09400000000001,15.766,1.105,0.4,0.2,0.25,4.0,13.25,0.0,0.571,4,5,3,4.0,563,0,Silver,23,Nairobi,4.1,2.0,Champions
R00088,0,6,0.0,1,2,2,2,379.67,18.08,21,27.88,15.151,1.114,0.333,0.333,0.286,5.0,64.8,0.2,0.667,4,3,3,3.33,278,0,Silver,49,Nairobi,3.4,0.0,At-Risk
R00089,0,15,0.0,0,3,5,6,634.84,21.16,30,53.30199999999999,16.536,1.173,0.333,0.433,0.4,5.0,561.0,0.2,0.5,3,4,5,4.0,279,0,Bronze,38,Lagos,3.85,2.0,Champions
R00090,0,24,0.0,0,1,2,3,583.6,24.32,24,11.363,16.944,1.225,0.75,0.333,0.292,8.0,62.125,0.375,0.333,2,1,5,2.67,535,0,Gold,37,Lagos,2.4,3.0,Loyal Riders
R00091,0,132,0.0,0,0,0,0,303.19,20.21,15,0.0,16.501,1.167,0.467,0.133,0.133,6.0,27.667,0.0,0.0,1,1,2,1.33,262,0,Silver,44,Nairobi,1.25,1.0,Dormant
R00092,0,7,0.0,0,3,4,7,470.91,21.4,22,47.352,16.75,1.15,0.455,0.227,0.364,4.0,62.5,0.25,0.6,4,4,5,4.33,633,0,Bronze,20,Cairo,4.25,2.0,Champions
R00093,0,0,0.0,1,2,3,5,411.09,15.81,26,29.26,14.183,1.05,0.462,0.231,0.346,5.0,94.4,0.0,0.5,5,3,4,4.0,65,0,Bronze,35,Nairobi,4.05,0.0,At-Risk
R00094,0,10,0.0,0,2,2,4,287.64,14.38,20,22.67,13.221,1.05,0.35,0.2,0.6,11.0,38.182,0.273,0.667,3,3,1,2.33,635,0,Silver,35,Nairobi,2.5,0.0,At-Risk
R00095,0,84,0.0,0,0,0,1,453.12,20.6,22,0.0,16.579,1.173,0.318,0.318,0.273,5.0,95.4,0.2,0.0,1,1,4,2.0,246,1,Bronze,39,Nairobi,1.75,1.0,Dormant
R00096,0,13,0.0,0,2,4,5,455.99,19.83,23,32.120000000000005,15.558,1.104,0.565,0.304,0.261,5.0,39.2,0.0,0.4,3,3,4,3.33,200,1,Gold,18,Nairobi,3.25,2.0,Champions
R00097,0,32,0.0,0,0,1,4,248.62,15.54,16,0.0,13.054,1.169,0.188,0.438,0.125,5.0,87.4,0.0,0.0,1,1,1,1.0,521,0,Bronze,26,Cairo,1.0,1.0,Dormant
R00098,0,2,0.0,2,4,6,6,399.86,16.66,24,85.506,14.897,1.079,0.167,0.167,0.375,4.0,6.5,0.0,0.571,5,5,4,4.67,367,0,Bronze,37,Nairobi,4.75,2.0,Champions
R00099,1,14,0.0,0,4,5,5,490.03,18.85,26,70.194,15.227,1.169,0.269,0.577,0.423,3.0,28.0,0.333,0.667,3,5,5,4.33,236,1,Bronze,35,Lagos,4.2,2.0,Champions
R00100,0,21,0.0,0,2,3,6,451.55,19.63,23,43.89,16.68,1.135,0.217,0.304,0.217,6.0,42.167,0.0,0.5,2,3,4,3.0,484,1,Bronze,38,Nairobi,2.85,2.0,Champions
R00101,0,2,0.0,1,1,2,3,482.68,17.24,28,36.77,14.322,1.129,0.393,0.321,0.25,2.0,26.0,0.0,0.333,5,1,5,3.67,538,0,Silver,44,Nairobi,3.6,2.0,Champions
R00102,0,17,0.0,0,1,2,2,201.11,16.76,12,44.43599999999999,14.3,1.108,0.25,0.333,0.333,4.0,227.5,0.25,0.333,3,2,1,2.0,543,0,Silver,38,Cairo,2.15,0.0,At-Risk
R00104,0,20,0.0,0,2,3,5,348.05,20.47,17,42.19,16.708,1.171,0.235,0.176,0.294,6.0,44.333,0.167,0.5,2,3,3,2.67,370,0,Silver,27,Nairobi,2.6,2.0,Champions
R00105,0,19,0.0,0,3,5,6,466.64,19.44,24,96.888,15.999,1.1,0.708,0.292,0.333,4.0,21.5,0.5,0.5,2,4,5,3.67,301,1,Gold,45,Cairo,3.45,3.0,Loyal Riders
R00106,0,9,0.0,0,1,3,5,450.05,21.43,21,10.15,15.903,1.257,0.143,0.238,0.286,5.0,26.6,0.0,0.25,4,2,4,3.33,379,0,Bronze,39,Cairo,3.3,2.0,Champions
R00108,0,9,0.0,0,4,6,8,344.52,17.23,20,73.242,15.095,1.125,0.2,0.4,0.25,13.0,89.0,0.154,0.571,4,5,2,3.67,368,1,Bronze,24,Lagos,3.85,0.0,At-Risk
R00109,0,2,0.0,2,2,3,5,380.53,18.12,21,23.86,14.301,1.157,0.619,0.429,0.19,2.0,69.5,0.5,0.5,5,3,3,3.67,190,0,Gold,46,Lagos,3.8,3.0,Loyal Riders
R00110,0,43,0.0,0,0,4,7,282.25,23.52,12,0.0,18.3,1.225,0.417,0.583,0.25,3.0,17.333,0.0,0.0,1,1,1,1.0,411,1,Bronze,32,Lagos,1.0,1.0,Dormant
R00111,0,3,0.0,2,3,6,7,392.21,17.83,22,31.08,14.574,1.132,0.318,0.182,0.227,7.0,42.429,0.143,0.429,5,4,3,4.0,398,1,Silver,30,Cairo,4.15,0.0,At-Risk
R00112,0,20,0.0,0,2,2,3,362.98,20.17,18,20.6,16.015,1.194,0.278,0.722,0.389,2.0,27.5,0.0,0.667,2,3,3,2.67,268,0,Silver,38,Lagos,2.6,2.0,Champions
R00113,0,13,0.0,0,1,2,3,447.89,21.33,21,23.93,17.422,1.176,0.143,0.238,0.429,4.0,37.5,0.0,0.333,3,2,4,3.0,307,0,Bronze,29,Lagos,2.9,2.0,Champions
R00114,0,3,0.0,2,5,6,8,748.78,26.74,28,176.892,17.835,1.329,0.286,0.143,0.143,4.0,125.0,0.25,0.714,5,5,5,5.0,73,1,Bronze,42,Cairo,5.0,2.0,Champions
R00115,0,17,0.0,0,3,4,7,290.6,16.14,18,62.14,14.709,1.067,0.389,0.556,0.167,4.0,8.5,0.25,0.6,3,4,1,2.67,70,0,Bronze,40,Lagos,2.85,0.0,At-Risk
R00116,0,10,0.0,0,2,3,5,456.04,21.72,21,76.74000000000001,17.18,1.171,0.238,0.238,0.429,6.0,27.167,0.167,0.5,3,3,4,3.33,464,1,Silver,22,Cairo,3.25,2.0,Champions
R00117,0,1,0.0,3,7,8,10,430.62,17.22,25,156.731,13.86,1.184,0.36,0.52,0.44,3.0,98.333,0.667,0.778,5,5,4,4.67,382,1,Bronze,36,Lagos,4.75,3.0,Loyal Riders
R00118,0,36,0.0,0,0,3,3,332.98,20.81,16,0.0,16.588,1.175,0.188,0.438,0.438,3.0,4.0,0.333,0.0,1,1,2,1.33,109,0,Silver,37,Cairo,1.25,1.0,Dormant
R00119,0,4,0.0,1,3,4,4,276.42,16.26,17,35.27,14.816,1.065,0.176,0.412,0.353,4.0,98.0,0.0,0.6,5,4,1,3.33,676,1,Bronze,47,Lagos,3.65,0.0,At-Risk
R00120,0,2,0.0,1,2,3,4,243.76,17.41,14,31.315,14.836,1.15,0.286,0.143,0.286,6.0,385.833,0.667,0.5,5,3,1,3.0,319,0,Platinum,35,Cairo,3.3,3.0,Loyal Riders
R00121,0,7,0.0,0,1,1,2,156.76,17.42,9,11.17,14.051,1.122,0.556,0.333,0.444,3.0,243.333,0.333,0.5,4,2,1,2.33,348,1,Bronze,35,Cairo,2.55,3.0,Loyal Riders
R00122,0,58,0.0,0,0,1,3,333.86,18.55,18,0.0,15.383,1.122,0.167,0.278,0.389,3.0,109.0,0.0,0.0,1,1,2,1.33,588,1,Bronze,53,Nairobi,1.25,1.0,Dormant
R00123,0,17,0.0,0,2,4,5,358.43,15.58,23,28.19,13.54,1.061,0.826,0.304,0.304,7.0,100.143,0.286,0.4,3,3,3,3.0,480,0,Gold,41,Nairobi,3.0,3.0,Loyal Riders
R00124,0,4,0.0,1,5,7,9,435.48,20.74,21,115.776,16.489,1.124,0.571,0.333,0.048,5.0,64.8,0.0,0.625,5,5,4,4.67,335,1,Bronze,26,Cairo,4.75,2.0,Champions
R00125,0,8,0.0,0,2,4,5,459.83,21.9,21,48.675,16.541,1.205,0.19,0.524,0.19,5.0,54.2,0.0,0.4,4,3,4,3.67,401,0,Bronze,38,Lagos,3.65,2.0,Champions
R00126,0,7,0.0,0,2,7,9,533.93,20.54,26,55.424,15.889,1.223,0.269,0.308,0.231,7.0,16.286,0.0,0.25,4,3,5,4.0,347,0,Bronze,41,Cairo,3.9,2.0,Champions
R00127,0,7,0.0,0,2,7,7,309.61,19.35,16,42.106,15.139,1.144,0.5,0.375,0.25,2.0,40.0,0.0,0.25,4,3,2,3.0,702,0,Bronze,49,Cairo,3.15,0.0,At-Risk
R00128,0,22,0.0,0,2,2,4,341.6,17.98,19,34.46,15.895,1.074,0.421,0.368,0.263,2.0,22.5,0.0,0.667,2,3,2,2.33,167,0,Bronze,47,Cairo,2.35,0.0,At-Risk
R00129,0,13,0.0,0,4,5,8,409.73,22.76,18,112.505,17.105,1.178,0.444,0.167,0.167,5.0,207.6,0.0,0.667,3,5,4,4.0,396,0,Bronze,48,Cairo,3.95,2.0,Champions
R00130,0,2,0.0,1,2,5,5,320.96,16.89,19,51.71,15.105,1.058,0.263,0.474,0.158,3.0,127.0,0.0,0.333,5,3,2,3.33,297,0,Bronze,29,Nairobi,3.55,0.0,At-Risk
R00131,0,1,0.0,2,5,7,8,563.49,18.78,30,98.254,15.447,1.143,0.3,0.367,0.333,9.0,45.889,0.333,0.625,5,5,5,5.0,627,0,Bronze,34,Lagos,5.0,2.0,Champions
R00132,0,3,0.0,1,1,5,5,252.57,15.79,16,8.01,13.934,1.106,0.312,0.375,0.312,5.0,52.4,0.2,0.167,5,2,1,2.67,246,0,Silver,41,Nairobi,2.95,0.0,At-Risk
R00133,0,10,0.0,0,2,2,5,613.89,25.58,24,193.207,16.714,1.275,0.708,0.25,0.208,7.0,89.286,0.286,0.667,3,3,5,3.67,481,0,Gold,45,Cairo,3.5,3.0,Loyal Riders
R00134,1,46,0.0,0,0,1,2,259.31,16.21,16,0.0,14.905,1.044,0.25,0.312,0.125,2.0,142.5,0.0,0.0,1,1,1,1.0,91,0,Bronze,43,Lagos,1.0,1.0,Dormant
R00135,0,104,999.0,0,0,0,0,208.67,17.39,12,0.0,14.698,1.167,0.417,0.083,0.167,,,,0.0,1,1,1,1.0,446,0,Bronze,23,Cairo,1.0,,
